Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_overflow.c , Stack related defects , Stack overflow , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_underrun.c , Stack related defects , Stack underrun , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 0 , 0 , 13 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 3 , 2 , 15 , 20.0 , 13.33 , 41.63 , 1 , 6.67 , 15 , 80.0 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 1 , 0 , 16 , 6.25 , 0.0 , 25.0 , 1 , 6.25 , 14 , 92.86 , 1
uninit_var.c , Misc defects , Uninitialized variable , 0 , 0 , 15 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 0 , 0 , 8 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
unused_var.c , Inappropriate code , Unused variable , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 1 , 0 , 18 , 5.56 , 0.0 , 23.57 , 1 , 5.56 , 12 , 91.67 , 0
zero_division.c , Numerical defects , Division by zero , 0 , 0 , 16 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
